CellID,DNA_6,ELANE,CD57,CD45,DNA_7,CD11B,SMA,CD16,DNA_8,ECAD,FOXP3,NCAM,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
5455,19191.921875,1709.078125,296.859375,771.234375,12005.734375,915.421875,1593.59375,392.0,13225.765625,1609.421875,589.390625,958.71875,79.34375,1883.1875,64,10.927527500932788,7.49239732771545,0.7279367044866097,0.9411764705882353,0.7272727272727273,-1.2771374672660427
5456,15499.430769230768,1455.4153846153847,241.83076923076922,846.7538461538461,8704.907692307692,1217.8153846153846,506.5692307692308,554.6923076923077,11023.923076923076,1678.923076923077,344.6,951.6307692307693,681.5846153846154,1884.8,65,10.118909867021172,8.15565112983766,0.5919411315759757,0.9701492537313433,0.8125,-0.28559897749004093
5457,25038.467213114753,1372.327868852459,249.12295081967213,1896.7540983606557,12986.254098360656,979.2131147540983,1471.2131147540983,628.016393442623,17466.008196721312,1108.3934426229507,312.2295081967213,902.0491803278688,1372.188524590164,1888.7540983606557,122,19.588492207780327,8.92596547244923,0.8901467621146922,0.8356164383561644,0.5350877192982456,-0.2582082900961966
5458,8006.026785714285,2023.5357142857142,13738.160714285714,292.39285714285717,4569.866071428572,1128.6517857142858,525.4464285714286,412.2232142857143,5825.285714285715,1281.8035714285713,298.4642857142857,876.5535714285714,1929.919642857143,1885.0267857142858,112,13.913306810446251,10.240924091675087,0.6769244678466133,0.9739130434782609,0.7832167832167832,-1.0443148726907177
5459,17587.508771929824,1368.9473684210527,347.5964912280702,564.8070175438596,9838.0,1428.3684210526317,2424.964912280702,722.578947368421,12613.157894736842,1172.701754385965,369.7368421052632,908.5087719298245,2248.754385964912,1884.1754385964912,57,10.080905452981584,7.469595634608885,0.6715439170410672,0.9193548387096774,0.6333333333333333,-0.7618570538449974
5460,19025.673076923078,1512.6538461538462,235.17307692307693,1077.048076923077,11020.14423076923,929.3173076923077,636.5576923076923,398.3173076923077,13089.60576923077,6602.1442307692305,272.90384615384613,885.2980769230769,337.4423076923077,1885.2211538461538,104,15.008974285534919,8.90390405744575,0.8050266277500072,0.9454545454545454,0.8253968253968254,-1.3425184817872264
5461,35477.11666666667,1408.3333333333333,367.6666666666667,1993.4833333333333,20155.183333333334,924.2,1158.6166666666666,557.5666666666667,26295.5,1186.3166666666666,370.8666666666667,903.7166666666667,2228.766666666667,1885.0833333333333,60,9.283971360087584,8.263916760805248,0.45571187492116455,0.9375,0.7407407407407407,-1.2546822042712917
5462,17305.571895424837,2127.947712418301,286.4640522875817,385.6503267973856,9531.199346405228,1227.235294117647,574.6764705882352,611.6633986928105,11916.830065359478,1693.016339869281,350.0359477124183,947.7254901960785,720.375816993464,1889.5359477124182,306,26.212629453690603,15.166286939270869,0.8156206655786411,0.9622641509433962,0.68,-1.1171348032759376
5463,10834.271739130434,1316.858695652174,497.75,1788.804347826087,5714.728260869565,932.1739130434783,1565.0217391304348,551.3152173913044,7487.358695652174,2333.8695652173915,926.445652173913,890.5652173913044,1233.7282608695652,1888.6630434782608,92,17.30961827092239,7.1008790959280255,0.9119832832018664,0.9108910891089109,0.5476190476190477,-0.6306807834652345
5464,11555.78431372549,2169.1176470588234,248.1764705882353,345.11764705882354,6618.490196078431,936.7647058823529,408.96078431372547,398.72549019607845,8375.274509803921,1201.862745098039,272.7647058823529,922.1372549019608,1296.8235294117646,1886.1568627450981,51,11.185321718774802,6.119443913516389,0.8370699198225698,0.9107142857142857,0.6375,-0.6036803495759372
